items,price,qty,time,message_id,email,purchase_keys__extid
"[{'id': 123, 'title': 'bytecode swag', 'price': 100, 'qty': 10, 'url': 'https://bytecode.io'}]",1000,10,"Mon, 05 Apr 2021 18:09:47 -0400",,peter.begle@bytecode.io,12345
"[{'id': 123, 'title': 'bytecode swag', 'price': 100, 'url': 'https://bytecode.io', 'qty': 56}, {'id': 654, 'title': 'socks', 'price': 1099, 'url': 'https://bytecode.io', 'qty': 24}, {'id': 456, 'title': 'pants', 'price': 2999, 'url': 'https://bytecode.io', 'qty': 53}]",190923,133,"Mon, 05 Apr 2021 21:27:59 -0400",,amanda.kuelker@bytecode.io,1f5c20d4c7b93cae58aaae69
"[{'id': 654, 'title': 'socks', 'price': 1099, 'url': 'https://bytecode.io', 'qty': 80}, {'id': 987, 'title': 'hat', 'price': 1999, 'url': 'https://bytecode.io', 'qty': 80}, {'id': 123, 'title': 'bytecode swag', 'price': 100, 'url': 'https://bytecode.io', 'qty': 88}, {'id': 321, 'title': 'cowboy hat', 'price': 5999, 'url': 'https://bytecode.io', 'qty': 17}, {'id': 456, 'title': 'pants', 'price': 2999, 'url': 'https://bytecode.io', 'qty': 20}]",418603,285,"Mon, 05 Apr 2021 21:27:59 -0400",,david.kochar@bytecode.io,e600e4388de2572e8c810160
"[{'id': 654, 'title': 'socks', 'price': 1099, 'url': 'https://bytecode.io', 'qty': 77}, {'id': 456, 'title': 'pants', 'price': 2999, 'url': 'https://bytecode.io', 'qty': 90}, {'id': 789, 'title': 'dress', 'price': 3999, 'url': 'https://bytecode.io', 'qty': 78}, {'id': 987, 'title': 'hat', 'price': 1999, 'url': 'https://bytecode.io', 'qty': 43}, {'id': 321, 'title': 'cowboy hat', 'price': 5999, 'url': 'https://bytecode.io', 'qty': 21}, {'id': 123, 'title': 'bytecode swag', 'price': 100, 'url': 'https://bytecode.io', 'qty': 88}]",887191,397,"Mon, 05 Apr 2021 21:27:58 -0400",,cynthia.homan@bytecode.io,dfc3a50e35f33d4ba8430154
"[{'id': 987, 'title': 'hat', 'price': 1999, 'url': 'https://bytecode.io', 'qty': 3}, {'id': 789, 'title': 'dress', 'price': 3999, 'url': 'https://bytecode.io', 'qty': 84}, {'id': 456, 'title': 'pants', 'price': 2999, 'url': 'https://bytecode.io', 'qty': 100}, {'id': 654, 'title': 'socks', 'price': 1099, 'url': 'https://bytecode.io', 'qty': 50}]",696763,237,"Mon, 05 Apr 2021 21:27:58 -0400",,peter.begle@bytecode.io,78e26061530a200eb40b8a9b
"[{'id': 789, 'title': 'dress', 'price': 3999, 'url': 'https://bytecode.io', 'qty': 94}]",375906,94,"Mon, 05 Apr 2021 21:27:58 -0400",,mark.doucette@bytecode.io,b716de6f5ae642048dcf76e3
"[{'id': 456, 'title': 'pants', 'price': 2999, 'url': 'https://bytecode.io', 'qty': 18}, {'id': 321, 'title': 'cowboy hat', 'price': 5999, 'url': 'https://bytecode.io', 'qty': 29}]",227953,47,"Mon, 05 Apr 2021 21:27:57 -0400",,john.marshall@bytecode.io,7c4e309986033ce63b999e28
"[{'id': 789, 'title': 'dress', 'price': 3999, 'url': 'https://bytecode.io', 'qty': 62}, {'id': 123, 'title': 'bytecode swag', 'price': 100, 'url': 'https://bytecode.io', 'qty': 88}, {'id': 456, 'title': 'pants', 'price': 2999, 'url': 'https://bytecode.io', 'qty': 22}, {'id': 654, 'title': 'socks', 'price': 1099, 'url': 'https://bytecode.io', 'qty': 78}]",408438,250,"Mon, 05 Apr 2021 21:27:57 -0400",,kevin.koshinski@bytecode.io,6c99e39dab80cb372c18ee9c
"[{'id': 456, 'title': 'pants', 'price': 2999, 'url': 'https://bytecode.io', 'qty': 16}, {'id': 789, 'title': 'dress', 'price': 3999, 'url': 'https://bytecode.io', 'qty': 44}]",223940,60,"Mon, 05 Apr 2021 21:27:57 -0400",,carolyn.cook@bytecode.io,8945a37c5a55290fb57f3db5
"[{'id': 987, 'title': 'hat', 'price': 1999, 'url': 'https://bytecode.io', 'qty': 63}, {'id': 456, 'title': 'pants', 'price': 2999, 'url': 'https://bytecode.io', 'qty': 96}, {'id': 123, 'title': 'bytecode swag', 'price': 100, 'url': 'https://bytecode.io', 'qty': 76}, {'id': 789, 'title': 'dress', 'price': 3999, 'url': 'https://bytecode.io', 'qty': 4}]",437437,239,"Mon, 05 Apr 2021 21:27:56 -0400",,aaron.pugliese@bytecode.io,081908b3bd4cfe1538d7843d
"[{'id': 123, 'title': 'bytecode swag', 'price': 100, 'url': 'https://bytecode.io', 'qty': 69}, {'id': 987, 'title': 'hat', 'price': 1999, 'url': 'https://bytecode.io', 'qty': 97}, {'id': 456, 'title': 'pants', 'price': 2999, 'url': 'https://bytecode.io', 'qty': 67}, {'id': 789, 'title': 'dress', 'price': 3999, 'url': 'https://bytecode.io', 'qty': 62}, {'id': 321, 'title': 'cowboy hat', 'price': 5999, 'url': 'https://bytecode.io', 'qty': 32}]",841642,327,"Mon, 05 Apr 2021 21:27:55 -0400",,mark.doucette@bytecode.io,fbaaa311a5f2f236af0678b8
"[{'id': 987, 'title': 'hat', 'price': 1999, 'url': 'https://bytecode.io', 'qty': 12}]",23988,12,"Mon, 05 Apr 2021 21:27:55 -0400",,john.marshall@bytecode.io,5e92a908920583e340bf7bb3
"[{'id': 987, 'title': 'hat', 'price': 1999, 'url': 'https://bytecode.io', 'qty': 71}, {'id': 456, 'title': 'pants', 'price': 2999, 'url': 'https://bytecode.io', 'qty': 77}]",372852,148,"Mon, 05 Apr 2021 21:27:55 -0400",,joyce.schiffer@bytecode.io,d32454968ef4bdf6985b7b7b
"[{'id': 789, 'title': 'dress', 'price': 3999, 'url': 'https://bytecode.io', 'qty': 41}, {'id': 654, 'title': 'socks', 'price': 1099, 'url': 'https://bytecode.io', 'qty': 58}, {'id': 987, 'title': 'hat', 'price': 1999, 'url': 'https://bytecode.io', 'qty': 2}, {'id': 321, 'title': 'cowboy hat', 'price': 5999, 'url': 'https://bytecode.io', 'qty': 10}, {'id': 123, 'title': 'bytecode swag', 'price': 100, 'url': 'https://bytecode.io', 'qty': 83}, {'id': 456, 'title': 'pants', 'price': 2999, 'url': 'https://bytecode.io', 'qty': 89}]",566900,283,"Mon, 05 Apr 2021 21:27:54 -0400",,charlie.killian@bytecode.io,2c3a123db76f0f29922b072f
"[{'id': 789, 'title': 'dress', 'price': 3999, 'url': 'https://bytecode.io', 'qty': 98}]",391902,98,"Mon, 05 Apr 2021 21:27:54 -0400",,peter.begle@bytecode.io,bbf72951134dbc95b9a0965f
"[{'id': 987, 'title': 'hat', 'price': 1999, 'url': 'https://bytecode.io', 'qty': 94}, {'id': 654, 'title': 'socks', 'price': 1099, 'url': 'https://bytecode.io', 'qty': 87}, {'id': 789, 'title': 'dress', 'price': 3999, 'url': 'https://bytecode.io', 'qty': 97}, {'id': 456, 'title': 'pants', 'price': 2999, 'url': 'https://bytecode.io', 'qty': 37}, {'id': 123, 'title': 'bytecode swag', 'price': 100, 'url': 'https://bytecode.io', 'qty': 73}, {'id': 321, 'title': 'cowboy hat', 'price': 5999, 'url': 'https://bytecode.io', 'qty': 99}]",1383586,487,"Mon, 05 Apr 2021 21:27:53 -0400",,peter.begle@bytecode.io,7c6a8866d1d335ebf9f71881
"[{'id': 456, 'title': 'pants', 'price': 2999, 'url': 'https://bytecode.io', 'qty': 100}, {'id': 321, 'title': 'cowboy hat', 'price': 5999, 'url': 'https://bytecode.io', 'qty': 29}, {'id': 987, 'title': 'hat', 'price': 1999, 'url': 'https://bytecode.io', 'qty': 25}]",523846,154,"Mon, 05 Apr 2021 21:27:53 -0400",,amanda.kuelker@bytecode.io,e86a89ffda2a3252c3623324
"[{'id': 456, 'title': 'pants', 'price': 2999, 'url': 'https://bytecode.io', 'qty': 29}, {'id': 321, 'title': 'cowboy hat', 'price': 5999, 'url': 'https://bytecode.io', 'qty': 82}, {'id': 123, 'title': 'bytecode swag', 'price': 100, 'url': 'https://bytecode.io', 'qty': 39}, {'id': 789, 'title': 'dress', 'price': 3999, 'url': 'https://bytecode.io', 'qty': 24}, {'id': 654, 'title': 'socks', 'price': 1099, 'url': 'https://bytecode.io', 'qty': 73}, {'id': 987, 'title': 'hat', 'price': 1999, 'url': 'https://bytecode.io', 'qty': 21}]",800971,268,"Mon, 05 Apr 2021 21:27:53 -0400",,aaron.pugliese@bytecode.io,569b86cd0322d7f490c6ef5c
"[{'id': 987, 'title': 'hat', 'price': 1999, 'url': 'https://bytecode.io', 'qty': 98}]",195902,98,"Mon, 05 Apr 2021 21:27:52 -0400",,carolyn.cook@bytecode.io,5e5b8dfc6b80bd90d58b3b69
"[{'id': 654, 'title': 'socks', 'price': 1099, 'url': 'https://bytecode.io', 'qty': 98}, {'id': 123, 'title': 'bytecode swag', 'price': 100, 'url': 'https://bytecode.io', 'qty': 14}]",109102,112,"Mon, 05 Apr 2021 21:27:52 -0400",,gabi.freire@bytecode.io,2e06dc00110b02c2763e19cf
"[{'id': 321, 'title': 'cowboy hat', 'price': 5999, 'url': 'https://bytecode.io', 'qty': 98}, {'id': 456, 'title': 'pants', 'price': 2999, 'url': 'https://bytecode.io', 'qty': 71}, {'id': 789, 'title': 'dress', 'price': 3999, 'url': 'https://bytecode.io', 'qty': 10}]",840821,179,"Mon, 05 Apr 2021 21:27:52 -0400",,amanda.kuelker@bytecode.io,9cd3fc6b04624278f360ae17
